name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
"Brokkos, Apex of Forever",{2}{B}{G}{U},Legendary Creature — Nightmare Beast Elemental,6/6,"Mutate {2}{U/B}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Trample You may cast Brokkos, Apex of Forever from your graveyard using its mutate ability.",Filip Burburan,Ikoria: Lair of Behemoths Promos,2.23,2.23,https://c1.scryfall.com/file/scryfall-cards/png/front/1/9/19372993-c8f4-4a17-84de-567121ce021e.png?1591311162,-
"Chevill, Bane of Monsters",{B}{G},Legendary Creature — Human Rogue,1/3,"Deathtouch At the beginning of your upkeep, if your opponents control no permanents with bounty counters on them, put a bounty counter on target creature or planeswalker an opponent controls. Whenever a permanent an opponent controls with a bounty counter on it dies, you gain 3 life and draw a card.",Yongjae Choi,Ikoria: Lair of Behemoths Promos,3.61,3.61,https://c1.scryfall.com/file/scryfall-cards/png/front/e/c/ec8e9f6a-be3b-44f6-b5c0-7ac8adf906f6.png?1591311151,-
Death's Oasis,{W}{B}{G},Enchantment,-,"Whenever a nontoken creature you control dies, mill two cards. Then return a creature card with lesser mana value than the creature that died from your graveyard to your hand. {1}, Sacrifice Death's Oasis: You gain life equal to the highest mana value among creatures you control.",Grzegorz Rutkowski,Ikoria: Lair of Behemoths Promos,0.64,0.64,https://c1.scryfall.com/file/scryfall-cards/png/front/6/2/629b774e-fe36-42c5-8535-6e4f65265275.png?1591311141,-
Eerie Ultimatum,{W}{W}{B}{B}{B}{G}{G},Sorcery,-,Return any number of permanent cards with different names from your graveyard to the battlefield.,Jason A. Engle,Ikoria: Lair of Behemoths Promos,5.32,5.32,https://c1.scryfall.com/file/scryfall-cards/png/front/2/5/25b9a3a3-b1b0-4959-b1b9-53bf3148c02d.png?1591311131,-
Emergent Ultimatum,{B}{B}{G}{G}{G}{U}{U},Sorcery,-,Search your library for up to three monocolored cards with different names and exile them. An opponent chooses one of those cards. Shuffle that card into your library. You may cast the other cards without paying their mana costs. Exile Emergent Ultimatum.,Zack Stella,Ikoria: Lair of Behemoths Promos,1.24,1.24,https://c1.scryfall.com/file/scryfall-cards/png/front/a/f/af1b4c41-4a0b-4421-a0c0-55e0391951c7.png?1591311118,-
Frondland Felidar,{2}{G}{W},Creature — Cat Beast,3/5,"Vigilance Creatures you control with vigilance have ""{1}, {T}: Tap target creature.""",Steve Prescott,Ikoria: Lair of Behemoths Promos,0.27,0.27,https://c1.scryfall.com/file/scryfall-cards/png/front/2/f/2f8be72f-a46e-4955-8363-ddd0a0e2de46.png?1591311107,-
General Kudro of Drannith,{1}{W}{B},Legendary Creature — Human Soldier,3/3,"Other Humans you control get +1/+1. Whenever General Kudro of Drannith or another Human enters the battlefield under your control, exile target card from an opponent's graveyard. {2}, Sacrifice two Humans: Destroy target creature with power 4 or greater.",Ryan Pancoast,Ikoria: Lair of Behemoths Promos,4.45,4.45,https://c1.scryfall.com/file/scryfall-cards/png/front/e/2/e23b0637-6fe0-4f7e-8767-543b49d9307e.png?1591311098,-
Genesis Ultimatum,{G}{G}{U}{U}{U}{R}{R},Sorcery,-,Look at the top five cards of your library. Put any number of permanent cards from among them onto the battlefield and the rest into your hand. Exile Genesis Ultimatum.,Jason Rainville,Ikoria: Lair of Behemoths Promos,2.27,2.27,https://c1.scryfall.com/file/scryfall-cards/png/front/d/1/d1715759-b6fc-4e3d-9a4e-27bc33b42238.png?1591311086,-
"Illuna, Apex of Wishes",{2}{G}{U}{R},Legendary Creature — Beast Elemental Dinosaur,6/6,"Mutate {3}{R/G}{U}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flying, trample Whenever this creature mutates, exile cards from the top of your library until you exile a nonland permanent card. Put that card onto the battlefield or into your hand.",Chris Rahn,Ikoria: Lair of Behemoths Promos,3.57,3.57,https://c1.scryfall.com/file/scryfall-cards/png/front/6/a/6a298e33-8a63-4e4e-8274-b547c9c12498.png?1591311074,-
Inspired Ultimatum,{U}{U}{R}{R}{R}{W}{W},Sorcery,-,"Target player gains 5 life, Inspired Ultimatum deals 5 damage to any target, then you draw five cards.",Tyler Jacobson,Ikoria: Lair of Behemoths Promos,0.43,0.43,https://c1.scryfall.com/file/scryfall-cards/png/front/0/d/0d822363-3705-41b9-b5e6-8e6ea8eb4131.png?1591311062,-
"Kinnan, Bonder Prodigy",{G}{U},Legendary Creature — Human Druid,2/2,"Whenever you tap a nonland permanent for mana, add one mana of any type that permanent produced. {5}{G}{U}: Look at the top five cards of your library. You may put a non-Human creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",Jason Rainville,Ikoria: Lair of Behemoths Promos,11.79,11.79,https://c1.scryfall.com/file/scryfall-cards/png/front/9/3/93fd24a9-6b17-4e82-a683-9e35be514fbd.png?1591311051,-
Labyrinth Raptor,{B}{R},Creature — Nightmare Dinosaur,2/2,"Menace Whenever a creature you control with menace becomes blocked, defending player sacrifices a creature blocking it. {B}{R}: Creatures you control with menace get +1/+0 until end of turn.",Daarken,Ikoria: Lair of Behemoths Promos,0.27,0.27,https://c1.scryfall.com/file/scryfall-cards/png/front/1/5/15ed62b1-8527-434f-a0da-e347564c1ad0.png?1591311040,-
Narset of the Ancient Way,{1}{U}{R}{W},Legendary Planeswalker — Narset,4,"+1: You gain 2 life. Add {U}, {R}, or {W}. Spend this mana only to cast a noncreature spell. −2: Draw a card, then you may discard a card. When you discard a nonland card this way, Narset of the Ancient Way deals damage equal to that card's mana value to target creature or planeswalker. −6: You get an emblem with ""Whenever you cast a noncreature spell, this emblem deals 2 damage to any target.""",Yongjae Choi,Ikoria: Lair of Behemoths Promos,3.52,3.52,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a9baef1e-09da-4afa-9464-ee113c12fede.png?1591311030,-
"Nethroi, Apex of Death",{2}{W}{B}{G},Legendary Creature — Cat Nightmare Beast,5/5,"Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Deathtouch, lifelink Whenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield.",Slawomir Maniak,Ikoria: Lair of Behemoths Promos,5.95,5.95,https://c1.scryfall.com/file/scryfall-cards/png/front/d/6/d6749d17-318c-4ca4-a7b2-b4a49fa975fc.png?1591311015,-
Offspring's Revenge,{2}{R}{W}{B},Enchantment,-,"At the beginning of combat on your turn, exile target red, white, or black creature card from your graveyard. Create a token that's a copy of that card, except it's 1/1. It gains haste until your next turn.",Daarken,Ikoria: Lair of Behemoths Promos,0.28,0.28,https://c1.scryfall.com/file/scryfall-cards/png/front/f/f/ff5fd74c-67c8-41ce-87e0-65c39e9f1dac.png?1591311004,-
Quartzwood Crasher,{2}{R}{R}{G},Creature — Dinosaur Beast,6/6,"Trample Whenever one or more creatures you control with trample deal combat damage to a player, create an X/X green Dinosaur Beast creature token with trample, where X is the amount of damage those creatures dealt to that player.",Antonio José Manzanedo,Ikoria: Lair of Behemoths Promos,1.2,1.2,https://c1.scryfall.com/file/scryfall-cards/png/front/b/8/b806fa87-875c-4ef7-badb-36b5ea121ce0.png?1591310993,-
"Rielle, the Everwise",{1}{U}{R},Legendary Creature — Human Wizard,0/3,"Rielle, the Everwise gets +1/+0 for each instant and sorcery card in your graveyard. Whenever you discard one or more cards for the first time each turn, draw that many cards.",Yongjae Choi,Ikoria: Lair of Behemoths Promos,5.14,5.14,https://c1.scryfall.com/file/scryfall-cards/png/front/0/2/0235c888-63f7-4059-a6da-5b3b05d011b7.png?1591310984,-
Ruinous Ultimatum,{R}{R}{W}{W}{W}{B}{B},Sorcery,-,Destroy all nonland permanents your opponents control.,Chase Stone,Ikoria: Lair of Behemoths Promos,5.01,5.01,https://c1.scryfall.com/file/scryfall-cards/png/front/9/c/9c9a9115-ac31-4515-84e2-13e590028bab.png?1591310973,-
Skycat Sovereign,{W}{U},Creature — Elemental Cat,1/1,Flying Skycat Sovereign gets +1/+1 for each other creature you control with flying. {2}{W}{U}: Create a 1/1 white Cat Bird creature token with flying.,Slawomir Maniak,Ikoria: Lair of Behemoths Promos,0.83,0.83,https://c1.scryfall.com/file/scryfall-cards/png/front/e/a/eaf4ecc0-481d-4c40-982b-01dfc1bf1cd5.png?1591310959,-
Slitherwisp,{U}{B}{B},Creature — Elemental Nightmare,3/2,"Flash Whenever you cast another spell that has flash, you draw a card and each opponent loses 1 life.",Yigit Koroglu,Ikoria: Lair of Behemoths Promos,0.45,0.45,https://c1.scryfall.com/file/scryfall-cards/png/front/3/b/3b15a867-b65e-4262-9804-8a8c4e771576.png?1591310946,-
"Snapdax, Apex of the Hunt",{1}{R}{W}{B},Legendary Creature — Dinosaur Cat Nightmare,3/5,"Mutate {2}{B/R}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Double strike Whenever this creature mutates, it deals 4 damage to target creature or planeswalker an opponent controls and you gain 4 life.",Viktor Titov,Ikoria: Lair of Behemoths Promos,1.59,1.59,https://c1.scryfall.com/file/scryfall-cards/png/front/c/7/c7167460-456e-4dc3-b184-75ab7732740d.png?1591310934,-
Song of Creation,{1}{G}{U}{R},Enchantment,-,"You may play an additional land on each of your turns. Whenever you cast a spell, draw two cards. At the beginning of your end step, discard your hand.",Noah Bradley,Ikoria: Lair of Behemoths Promos,0.91,0.91,https://c1.scryfall.com/file/scryfall-cards/png/front/e/9/e982f991-5c85-46ab-9205-f29dae09df83.png?1591310922,-
Titans' Nest,{1}{B}{G}{U},Enchantment,-,"At the beginning of your upkeep, look at the top card of your library. You may put that card into your graveyard. Exile a card from your graveyard: Add {C}. Spend this mana only to cast a spell that's one or more colors without {X} in its mana cost.",Cliff Childs,Ikoria: Lair of Behemoths Promos,0.45,0.45,https://c1.scryfall.com/file/scryfall-cards/png/front/c/5/c524b8fc-737a-4f78-963f-7ff3eedccb7f.png?1591310911,-
"Vadrok, Apex of Thunder",{U}{R}{W},Legendary Creature — Elemental Dinosaur Cat,3/3,"Mutate {1}{W/U}{R}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flying, first strike Whenever this creature mutates, you may cast target noncreature card with mana value 3 or less from your graveyard without paying its mana cost.",Zack Stella,Ikoria: Lair of Behemoths Promos,1.92,1.92,https://c1.scryfall.com/file/scryfall-cards/png/front/0/2/02f806df-2d1e-4815-8928-73f40659ca20.png?1591310901,-
Whirlwind of Thought,{1}{U}{R}{W},Enchantment,-,"Whenever you cast a noncreature spell, draw a card.",Bram Sels,Ikoria: Lair of Behemoths Promos,1.21,1.21,https://c1.scryfall.com/file/scryfall-cards/png/front/b/a/ba620481-acc5-4917-9fd7-454b1e4b1efc.png?1591310889,-
"Winota, Joiner of Forces",{2}{R}{W},Legendary Creature — Human Warrior,4/4,"Whenever a non-Human creature you control attacks, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.",Magali Villeneuve,Ikoria: Lair of Behemoths Promos,9.03,9.03,https://c1.scryfall.com/file/scryfall-cards/png/front/4/2/4249e182-6a1a-4513-8698-5670f5254f62.png?1591310878,-
Fiend Artisan,{B/G}{B/G},Creature — Nightmare,1/1,"Fiend Artisan gets +1/+1 for each creature card in your graveyard. {X}{B/G}, {T}, Sacrifice another creature: Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle. Activate only as a sorcery.",Yigit Koroglu,Ikoria: Lair of Behemoths Promos,10.71,10.71,https://c1.scryfall.com/file/scryfall-cards/png/front/4/f/4fcc6396-ea88-44d7-a893-97a14bd9aa65.png?1591310867,-
"Gyruda, Doom of Depths",{4}{U/B}{U/B},Legendary Creature — Demon Kraken,6/6,"Companion — Your starting deck contains only cards with even mana values. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) When Gyruda enters the battlefield, each player mills four cards. Put a creature card with an even mana value from among the milled cards onto the battlefield under your control.",Tyler Jacobson,Ikoria: Lair of Behemoths Promos,1.19,1.19,https://c1.scryfall.com/file/scryfall-cards/png/front/c/8/c8797316-6bcd-4fcc-9f05-ca6e572a2427.png?1591310850,-
"Jegantha, the Wellspring",{4}{R/G},Legendary Creature — Elemental Elk,5/5,"Companion — No card in your starting deck has more than one of the same mana symbol in its mana cost. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) {T}: Add {W}{U}{B}{R}{G}. This mana can't be spent to pay generic mana costs.",Chris Rahn,Ikoria: Lair of Behemoths Promos,2.24,2.24,https://c1.scryfall.com/file/scryfall-cards/png/front/c/9/c96ece8e-b1fa-4cec-9f2c-c6c1f21ceb63.png?1591310836,-
"Kaheera, the Orphanguard",{1}{G/W}{G/W},Legendary Creature — Cat Beast,3/2,"Companion — Each creature card in your starting deck is a Cat, Elemental, Nightmare, Dinosaur, or Beast card. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) Vigilance Each other creature you control that's a Cat, Elemental, Nightmare, Dinosaur, or Beast gets +1/+1 and has vigilance.",Ryan Pancoast,Ikoria: Lair of Behemoths Promos,2.11,2.11,https://c1.scryfall.com/file/scryfall-cards/png/front/f/b/fbc719a2-2e74-4e33-b1fa-6051952590ed.png?1592235232,-
"Keruga, the Macrosage",{3}{G/U}{G/U},Legendary Creature — Dinosaur Hippo,5/4,"Companion — Your starting deck contains only cards with mana value 3 or greater and land cards. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) When Keruga, the Macrosage enters the battlefield, draw a card for each other permanent you control with mana value 3 or greater.",Dan Scott,Ikoria: Lair of Behemoths Promos,0.68,0.68,https://c1.scryfall.com/file/scryfall-cards/png/front/6/a/6a28cba8-4d36-4c29-9727-75f1733a361e.png?1591310812,-
Lurrus of the Dream-Den,{1}{W/B}{W/B},Legendary Creature — Cat Nightmare,3/2,"Companion — Each permanent card in your starting deck has mana value 2 or less. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) Lifelink During each of your turns, you may cast one permanent spell with mana value 2 or less from your graveyard.",Slawomir Maniak,Ikoria: Lair of Behemoths Promos,17.76,17.76,https://c1.scryfall.com/file/scryfall-cards/png/front/5/b/5bad4456-d5f7-4f9b-91ee-fdae549a1e95.png?1591310800,-
"Lutri, the Spellchaser",{1}{U/R}{U/R},Legendary Creature — Elemental Otter,3/2,"Companion — Each nonland card in your starting deck has a different name. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) Flash When Lutri, the Spellchaser enters the battlefield, if you cast it, copy target instant or sorcery spell you control. You may choose new targets for the copy.",Lie Setiawan,Ikoria: Lair of Behemoths Promos,1.05,1.05,https://c1.scryfall.com/file/scryfall-cards/png/front/4/8/48b2e344-3068-49c9-871d-4e66a64d8e9e.png?1591310788,-
"Obosh, the Preypiercer",{3}{B/R}{B/R},Legendary Creature — Hellion Horror,3/5,"Companion — Your starting deck contains only cards with odd mana values and land cards. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) If a source you control with an odd mana value would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",Daarken,Ikoria: Lair of Behemoths Promos,1.59,1.59,https://c1.scryfall.com/file/scryfall-cards/png/front/c/5/c5d0cd01-2184-4b10-917a-741e139a6a97.png?1591310774,-
"Umori, the Collector",{2}{B/G}{B/G},Legendary Creature — Ooze,4/5,"Companion — Each nonland card in your starting deck shares a card type. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) As Umori, the Collector enters the battlefield, choose a card type. Spells you cast of the chosen type cost {1} less to cast.",Jehan Choo,Ikoria: Lair of Behemoths Promos,0.66,0.66,https://c1.scryfall.com/file/scryfall-cards/png/front/a/4/a4efefd8-6623-4ae1-af91-dc43f658583e.png?1591310762,-
"Yorion, Sky Nomad",{3}{W/U}{W/U},Legendary Creature — Bird Serpent,4/5,"Companion — Your starting deck contains at least twenty cards more than the minimum deck size. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) Flying When Yorion enters the battlefield, exile any number of other nonland permanents you own and control. Return those cards to the battlefield at the beginning of the next end step.",Steven Belledin,Ikoria: Lair of Behemoths Promos,5.9,5.9,https://c1.scryfall.com/file/scryfall-cards/png/front/0/f/0ff8e7a9-2ce2-44a1-9671-70dbd46228b3.png?1592885291,-
"Zirda, the Dawnwaker",{1}{R/W}{R/W},Legendary Creature — Elemental Fox,3/3,"Companion — Each permanent card in your starting deck has an activated ability. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) Abilities you activate that aren't mana abilities cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana. {1}, {T}: Target creature can't block this turn.",Jesper Ejsing,Ikoria: Lair of Behemoths Promos,2.89,2.89,https://c1.scryfall.com/file/scryfall-cards/png/front/a/8/a8c08043-cd12-4431-a8a3-e9b3495fc678.png?1591310735,-
Crystalline Giant,{3},Artifact Creature — Giant,3/3,"At the beginning of combat on your turn, choose a kind of counter at random that Crystalline Giant doesn't have on it from among flying, first strike, deathtouch, hexproof, lifelink, menace, reach, trample, vigilance, and +1/+1. Put a counter of that kind on Crystalline Giant.",Jason Rainville,Ikoria: Lair of Behemoths Promos,1.13,1.13,https://c1.scryfall.com/file/scryfall-cards/png/front/0/8/0889fbbb-c22e-4fbe-990b-ea868de50d0b.png?1591310722,-
The Ozolith,{1},Legendary Artifact,-,"Whenever a creature you control leaves the battlefield, if it had counters on it, put those counters on The Ozolith. At the beginning of combat on your turn, if The Ozolith has counters on it, you may move all counters from The Ozolith onto target creature.",Sam Burley,Ikoria: Lair of Behemoths Promos,17.76,17.76,https://c1.scryfall.com/file/scryfall-cards/png/front/d/0/d09586ac-90c1-4358-ba89-fe0b8b5fa606.png?1591310709,-
Bonders' Enclave,-,Land,-,"{T}: Add {C}. {3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.",Cliff Childs,Ikoria: Lair of Behemoths Promos,2.71,2.71,https://c1.scryfall.com/file/scryfall-cards/png/front/c/e/ce0d9d59-0ec2-47bd-aeac-9456d69d836b.png?1591310697,-
Indatha Triome,-,Land — Plains Swamp Forest,-,"({T}: Add {W}, {B}, or {G}.) Indatha Triome enters the battlefield tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",Noah Bradley,Ikoria: Lair of Behemoths Promos,8.97,8.97,https://c1.scryfall.com/file/scryfall-cards/png/front/2/6/2628d3f1-e0b3-46f1-804d-7b4519e4b249.png?1591310685,-
Ketria Triome,-,Land — Forest Island Mountain,-,"({T}: Add {G}, {U}, or {R}.) Ketria Triome enters the battlefield tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",Sam Burley,Ikoria: Lair of Behemoths Promos,14.4,14.4,https://c1.scryfall.com/file/scryfall-cards/png/front/0/9/091cf2b6-bd04-40f9-895d-af4dc486fbd9.png?1591310665,-
Raugrin Triome,-,Land — Island Mountain Plains,-,"({T}: Add {U}, {R}, or {W}.) Raugrin Triome enters the battlefield tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",Jonas De Ro,Ikoria: Lair of Behemoths Promos,14.81,14.81,https://c1.scryfall.com/file/scryfall-cards/png/front/e/4/e4fbc5d6-e345-43cb-bf72-53d89791f6fb.png?1591310654,-
Savai Triome,-,Land — Mountain Plains Swamp,-,"({T}: Add {R}, {W}, or {B}.) Savai Triome enters the battlefield tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",Titus Lunter,Ikoria: Lair of Behemoths Promos,10.18,10.18,https://c1.scryfall.com/file/scryfall-cards/png/front/5/d/5d24f4bc-e0a4-4838-bf26-3e87c715e3bb.png?1591310643,-
Zagoth Triome,-,Land — Swamp Forest Island,-,"({T}: Add {B}, {G}, or {U}.) Zagoth Triome enters the battlefield tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",Eytan Zana,Ikoria: Lair of Behemoths Promos,16.53,16.53,https://c1.scryfall.com/file/scryfall-cards/png/front/6/4/64ecb374-9be6-4ee2-807b-f2adbb19bb2a.png?1591310633,-
Cat,-,Token Creature — Cat,1/1,Lifelink (Damage dealt by this creature also causes you to gain that much life.),Kekai Kotaki,Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/d/7/d754e09c-efc0-4536-9f2a-6bd7e2f860ab.png?1591225552,-
Cat Bird,-,Token Creature — Cat Bird,1/1,Flying,Leesha Hannigan,Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/8/1/816da759-e224-4960-b2b6-453cadc2faf1.png?1591225557,-
Human Soldier,-,Token Creature — Human Soldier,1/1,Ikoria: Lair of Behemoths Tokens (TIKO) #3,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/9/0/90de6d1e-e654-4f4a-8014-061ce69e540f.png?1591225563,-
Human Soldier,-,Token Creature — Human Soldier,1/1,Ikoria: Lair of Behemoths Tokens (TIKO) #4,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/6/d/6d9669b1-04bd-4620-9856-04ea0473ec57.png?1591225569,-
Human Soldier,-,Token Creature — Human Soldier,1/1,Ikoria: Lair of Behemoths Tokens (TIKO) #5,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/e/4/e406949f-c629-48fa-9fb0-ba6191054d35.png?1591225575,-
Kraken,-,Token Creature — Kraken,8/8,Ikoria: Lair of Behemoths Tokens (TIKO) #6,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/c/a/ca17c7b2-180a-4bd1-9ab2-152f8f656dba.png?1591225580,-
Shark,-,Token Creature — Shark,*/*,Flying,Caio Monteiro,Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/3/0/30d12226-6417-4b98-beb5-89a36c774141.png?1591225585,-
Dinosaur,-,Token Creature — Dinosaur,1/1,Haste,Jakub Kasper,Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/f/9/f918b740-1984-4090-8886-9e290a698b95.png?1591225591,-
Feather,-,Token Artifact,"{1}, Sacrifice Feather: Return target Phoenix card from your graveyard to the battlefield tapped.",Ikoria: Lair of Behemoths Tokens (TIKO) #9,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a9cc7c63-5d13-4fd6-af9d-4a26c2bab8e6.png?1591225596,-
Beast,-,Token Creature — Beast,3/3,Ikoria: Lair of Behemoths Tokens (TIKO) #10,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/1/f/1f2c9241-9cba-4c99-85cc-7e74286d1dc1.png?1591225601,-
Dinosaur Beast,-,Token Creature — Dinosaur Beast,*/*,Trample,Svetlin Velinov,Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/9/d/9d447365-3aca-4996-9098-efcbe6f28f57.png?1591225607,-
Companion,Card,"As each game begins, you can place one card with companion here if your starting deck meets its condition. You may cast it once from here.",-,Ikoria: Lair of Behemoths Tokens (TIKO) #13,"Magic: The Gathering, MTG",Ikoria: Lair of Behemoths Tokens,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/6/b/6b95e8bd-2686-4790-afeb-9b17d482f156.png?1600995556,-
"Trynn, Champion of Freedom",{3}{W},Legendary Creature — Human Soldier,3/3,"Partner with Silvar, Devourer of the Free (When this creature enters the battlefield, target player may put Silvar into their hand from their library, then shuffle.) At the beginning of your end step, if you attacked this turn, create a 1/1 white Human Soldier creature token.",Jesper Ejsing,Commander 2020,0.68,0.68,https://c1.scryfall.com/file/scryfall-cards/png/front/1/6/168d7532-c925-4a96-a756-2ce4dd0fec33.png?1591234194,-
"Haldan, Avid Arcanist",{2}{U},Legendary Creature — Human Wizard,1/4,"Partner with Pako, Arcane Retriever (When this creature enters the battlefield, target player may put Pako into their hand from their library, then shuffle.) You may play lands and cast noncreature spells from among cards you exiled that have fetch counters on them, and you may spend mana as though it were mana of any color to cast those spells.",Manuel Castañón,Commander 2020,0.54,0.54,https://c1.scryfall.com/file/scryfall-cards/png/front/1/6/16a86a35-f7e5-434d-bf44-61ae7cb0f98b.png?1618057606,-
"Nikara, Lair Scavenger",{2}{B},Legendary Creature — Human Cleric,2/2,"Partner with Yannik, Scavenging Sentinel (When this creature enters the battlefield, target player may put Yannik into their hand from their library, then shuffle.) Menace Whenever another creature you control leaves the battlefield, if it had one or more counters on it, you draw a card and you lose 1 life.",Grzegorz Rutkowski,Commander 2020,0.69,0.69,https://c1.scryfall.com/file/scryfall-cards/png/front/0/0/00b9ac91-51e4-4653-ac2a-da166a894f2a.png?1591234210,-
"Brallin, Skyshark Rider",{3}{R},Legendary Creature — Human Shaman,3/3,"Partner with Shabraz, the Skyshark (When this creature enters the battlefield, target player may put Shabraz into their hand from their library, then shuffle.) Whenever you discard a card, put a +1/+1 counter on Brallin, Skyshark Rider and it deals 1 damage to each opponent. {R}: Target Shark gains trample until end of turn.",Paul Scott Canavan,Commander 2020,0.78,0.78,https://c1.scryfall.com/file/scryfall-cards/png/front/9/b/9b4fdcd5-5346-46a8-b1a4-84ddb74089e0.png?1591234217,-
"Cazur, Ruthless Stalker",{3}{G},Legendary Creature — Human Warrior,3/3,"Partner with Ukkima, Stalking Shadow (When this creature enters the battlefield, target player may put Ukkima into their hand from their library, then shuffle.) Whenever a creature you control deals combat damage to a player, put a +1/+1 counter on that creature.",Daarken,Commander 2020,0.78,0.78,https://c1.scryfall.com/file/scryfall-cards/png/front/d/5/d5e857aa-06b7-4bce-b56d-6f6be5cfc77b.png?1591234223,-
"Akim, the Soaring Wind",{2}{U}{R}{W},Legendary Creature — Bird Dinosaur,3/4,"Flying Whenever you create one or more tokens for the first time each turn, create a 1/1 white Bird creature token with flying. {3}{U}{R}{W}: Creature tokens you control gain double strike until end of turn.",Filip Burburan,Commander 2020,0.35,0.35,https://c1.scryfall.com/file/scryfall-cards/png/front/2/3/23736c5f-bd1c-4505-8639-5fb92cd74b21.png?1591234230,-
"Gavi, Nest Warden",{2}{U}{R}{W},Legendary Creature — Human Shaman,2/5,"You may pay {0} rather than pay the cycling cost of the first card you cycle each turn. Whenever you draw your second card each turn, create a 2/2 red and white Dinosaur Cat creature token.",Randy Vargas,Commander 2020,0.52,0.52,https://c1.scryfall.com/file/scryfall-cards/png/front/8/0/80bc07d5-bdbb-4a6d-8958-0c172ea80245.png?1591234237,-
Jirina Kudro,{1}{R}{W}{B},Legendary Creature — Human Soldier,3/3,"When Jirina Kudro enters the battlefield, create a 1/1 white Human Soldier creature token for each time you've cast a commander from the command zone this game. Other Humans you control get +2/+0.",Magali Villeneuve,Commander 2020,0.55,0.55,https://c1.scryfall.com/file/scryfall-cards/png/front/6/e/6e660d42-f5d3-452a-9662-74e18a1ae9e4.png?1591234244,-
